n_estimators,max_depth,min_samples_leaf,features,n_features,r2_train,rmse_train,mae_train,wmapE_train,r2_val,rmse_val,mae_val,wmapE_val,r2_test,rmse_test,mae_test,wmapE_test
200,20,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.99084049624623,0.06796976572994656,0.00396971153385312,0.0011219410089826328,0.9814734677010556,0.09477911239911818,0.009732680033288362,0.0027521907944262213,0.9343078817490759,0.17781773044767218,0.011378223384650972,0.003211130100173356
200,20,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9697666986528175,0.12348738301030641,0.006048580432103532,0.0017094820051874163,0.9806375083250441,0.0968938450261398,0.009963409754191955,0.0028174361545633556,0.9631648071651069,0.1331526774715612,0.010845010283778485,0.0030606482032958376
200,20,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9538400310720896,0.15258525031007877,0.00886735856433611,0.002506140088477811,0.979011517569727,0.10088023548348106,0.011067718707146205,0.0031297107720508347,0.9756619868776049,0.10823332248150098,0.011125777040174577,0.003139885405107831
200,None,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9907388696741368,0.06834579482040504,0.0038913634196728174,0.001099797847816961,0.9819332804684653,0.09359555406976605,0.009638246199480942,0.002725486954661816,0.9266944036063565,0.1878395311640429,0.011424298603386627,0.003224133318404571
200,None,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9697591262122055,0.12350284679174786,0.006028256309724139,0.0017037378935121554,0.9806391294020995,0.09688978884165236,0.009949310997695804,0.0028134493320531276,0.9630531099334023,0.1333544074817763,0.01083411218841661,0.00305757257357158
200,None,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9538378259107836,0.1525888949298569,0.008868405123997112,0.00250643587274123,0.9789573098433897,0.10101042502557882,0.01106530810011264,0.0031290291046720585,0.9756674937974581,0.10822107690605144,0.011124260133673469,0.003139457308035011
400,10,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9905907708528195,0.06889010127051896,0.013778400344696153,0.0038941248634987153,0.9811689430556348,0.09555488994052885,0.016959978604804676,0.004795914057603966,0.9272929730961481,0.1870710668247291,0.0185736329446369,0.005241798284480118
400,10,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9696327466286264,0.12376064300082909,0.014991127432073929,0.004236872249657664,0.9804535043832424,0.09735315296036967,0.01692074497908502,0.004784819639296954,0.960720225751408,0.13750007069483433,0.017739719569495955,0.005006453604618713
400,10,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9536886624088168,0.15283522579931158,0.01571498879883443,0.004441453803068057,0.9782406434745636,0.10271611677228178,0.017035872430621334,0.004817375185274041,0.9750759822704715,0.10952857960342569,0.01697108789403202,0.004789532541849068
400,20,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9914055321980995,0.06583992007631051,0.003930971372006439,0.0011109920581836238,0.98169083496059,0.0942214618388107,0.009662637259302949,0.0027323842172943926,0.9291736326349482,0.18463580054080037,0.011427383804795488,0.0032250040152413425
400,20,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.970277886821951,0.12243896291097628,0.006041632735151091,0.0017075184100842323,0.9808477602835576,0.09636633732837566,0.009916078064593934,0.002804051779452824,0.9613530631962267,0.13638793953968772,0.01084634280791875,0.003061024264499011
400,20,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9540835397602275,0.15218224997320315,0.008904521114157576,0.0025166431661668323,0.9786904000090966,0.10164902493503876,0.01109184388679359,0.003136532849537438,0.9754723826606202,0.1086540980238408,0.01113975509285615,0.0031438302516968125
400,None,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9915351550598025,0.06534153069949969,0.003840219953387758,0.001085343409080695,0.9818559107163011,0.0937957489244526,0.009602406995427238,0.0027153524051709457,0.9287587532061657,0.18517578125996745,0.011343912989742203,0.0032014471173283355
400,None,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9701962374563207,0.12260702309048373,0.0060256284334137605,0.0017029951891181449,0.9807860614180457,0.09652143440748964,0.009915838375085728,0.002803984000459191,0.9612627758685501,0.1365471619763828,0.010842790589306697,0.0030600217673848362
400,None,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9540823218506884,0.15218426823619566,0.00890351670110772,0.0025163592936030504,0.9786630364016273,0.10171426763475398,0.011086895587446842,0.003135133577819514,0.9754726050840017,0.10865360536965532,0.01114140154175881,0.003144294907860697
